feature_set,forward_window,regression_bucket,observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean
rich_fundamental,fwd_6m_return,all,5080,11,-0.060429847790476776,0.012353408448527597,-0.014704451704376401,0.08409049832458866,0.05250235957596665,0.6200787401574803,0.06530569123493984,0.018784807089648817
rich_fundamental_price,fwd_6m_return,all,5080,11,-0.07593629163047888,0.0322412907614036,-0.04396557409052283,0.11382520634213726,0.062031236043351756,0.5915354330708661,0.08050504105029051,0.033320165291846754
financial_price,fwd_6m_return,large_cap,2314,11,-0.033277490464123316,0.10157983475139978,-0.006926657568123325,0.17161414796830002,0.1210862849985978,0.6695464362850972,0.10789190271023842,0.0637222452580616
price_only,fwd_6m_return,large_cap,2314,11,-0.010321066125746459,0.12217601758130188,-0.009829956441025791,0.19285386454921927,0.1267949608752563,0.7062634989200864,0.10805520107820768,0.08479866347101159
quality_growth_price,fwd_6m_return,large_cap,2314,11,-0.03674044611230709,0.09469033429384578,0.019652371801996187,0.1502900023236354,0.0943917393291713,0.6285097192224622,0.0935472515748244,0.05674275074881101
rich_fundamental,fwd_6m_return,large_cap,2314,11,-0.07913593711251732,-0.004741378336093525,-0.016207414394612984,0.09232521497716675,0.0672420197319789,0.6220302375809935,0.08902170627213978,0.003303508705026978
rich_fundamental_price,fwd_6m_return,large_cap,2314,11,-0.09001281027634467,0.05178392581017326,-0.021242516493134543,0.13555841935839902,0.0883604183199806,0.6112311015118791,0.0921375444696466,0.04342087488875242
financial_price,fwd_6m_return,mid_cap,2540,11,-0.08872431083568588,-0.035359405011782995,-0.08575756156345067,0.07082555022685613,0.028292772722326498,0.5492125984251969,0.08204766363908698,-0.011222113412230852
price_only,fwd_6m_return,mid_cap,2540,11,-0.06760624987047215,-0.028135316919147207,-0.0944133025787773,0.07692805966526452,0.03854800344613915,0.5610236220472441,0.09449944584250865,-0.01757138617724413
quality_growth_price,fwd_6m_return,mid_cap,2540,11,-0.05119770577355465,0.05117678333186033,0.018493998618346552,0.10897893406923559,0.07241534251890025,0.6417322834645669,0.05637690397540132,0.05260203009383427
rich_fundamental,fwd_6m_return,mid_cap,2540,11,-0.08566274351661063,-0.004605272838301205,-0.02482345133465028,0.06445505414412309,0.0336363476819225,0.5846456692913385,0.06313415311846407,0.001320901025659016
rich_fundamental_price,fwd_6m_return,mid_cap,2540,11,-0.11874132179928765,-0.02265073245470455,-0.06707827505761976,0.06663843425903827,0.02789691129739985,0.5452755905511811,0.07309160402988128,-0.006453169770843009
