observations,test_years,oos_r2,pearson_corr,spearman_corr,top_quintile_mean_return,top_quintile_median_return,top_quintile_hit_rate,bottom_quintile_mean_return,top_minus_bottom_mean,feature_set,transform,training_mode,test_year
218,1,-3.189212606797051,-0.2615998194189176,-0.18086906060165553,-0.05139665577033075,-0.07316930967177751,0.36363636363636365,0.07210620752786687,-0.12350286329819762,price_only,robust_z,rolling_3y,2022
224,1,0.11165422562559912,0.3595967709666152,0.18498398462524027,0.8293067302849935,0.4386926621611313,0.9111111111111111,0.26437167409570295,0.5649350561892905,price_only,robust_z,rolling_3y,2023
224,1,-0.08089038319221076,0.01709774958502504,-0.045979073243647244,0.2245075304721692,0.1012638608818961,0.7111111111111111,0.19279334578737486,0.03171418468479434,price_only,robust_z,rolling_3y,2024
189,1,-0.005672916477041268,0.28221013718727467,0.20789918057555237,0.5742282565958338,0.3880823543579597,0.8157894736842105,0.1781863189228957,0.39604193767293805,price_only,robust_z,rolling_3y,2025
201,1,-0.05740567155603049,0.13187197387511723,0.012667360967697393,0.36907196690744337,0.2210606025324755,0.7804878048780488,0.2391800302121535,0.12989193669528987,price_only,robust_z,rolling_5y,2016
204,1,-0.025155743965103117,0.12160991045411934,0.10593606660494308,0.16894501958354027,0.1967675044081935,0.7073170731707317,0.07478880850840817,0.0941562110751321,price_only,robust_z,rolling_5y,2017
207,1,-0.07662831841388451,0.0026808773259974447,-0.08389209987985842,0.19440278825689616,0.13547392139009215,0.6428571428571429,0.19454493669531375,-0.00014214843841758862,price_only,robust_z,rolling_5y,2018
211,1,-0.42558833421859443,0.12916463037320758,0.09006911000114971,0.025757270328816896,0.070050716107723,0.5581395348837209,-0.054762278701889634,0.08051954903070653,price_only,robust_z,rolling_5y,2019
212,1,-0.37919028747215644,-0.09110796644856252,-0.15882255888905822,0.5004951624518357,0.4408194607027929,0.9069767441860465,0.8377474292026339,-0.3372522667507982,price_only,robust_z,rolling_5y,2020
211,1,-0.029031661597031855,0.08404189373484339,0.07935514364916137,0.17250119819853954,0.1533927918032482,0.6744186046511628,0.055884643721002485,0.11661655447753705,price_only,robust_z,rolling_5y,2021
218,1,-2.5391119004274167,-0.31062997526843633,-0.21706939778266707,-0.07688225584608231,-0.07955827626357614,0.3409090909090909,0.04244309885445542,-0.11932535470053773,price_only,robust_z,rolling_5y,2022
224,1,0.05799187611422896,0.3500593367075005,0.27384902840059794,0.9066510022541417,0.500841631485702,0.9333333333333333,0.28930435055254,0.6173466517016017,price_only,robust_z,rolling_5y,2023
224,1,-0.00016787454458122575,0.23118322940670155,-0.003261797992739697,0.40290746445462317,0.1698464631744773,0.6666666666666666,0.14763390902475676,0.2552735554298664,price_only,robust_z,rolling_5y,2024
189,1,0.1997353952796863,0.48132912812307016,0.4209726443768997,0.7536032514569464,0.47289261384030545,0.9473684210526315,0.051244096512005094,0.7023591549449413,price_only,robust_z,rolling_5y,2025
201,1,0.012645628602138026,0.29002479743539317,0.1939012856509532,0.4774759179150841,0.3030612296202803,0.9024390243902439,0.1998860712234664,0.2775898466916177,price_only,winsor_z,expanding,2016
204,1,-0.027177250888173576,0.1443053207243338,0.14625382533164655,0.23122560021522082,0.21522286791087,0.7560975609756098,0.11067870485430222,0.1205468953609186,price_only,winsor_z,expanding,2017
207,1,-0.1546167063795283,-0.013340893149648848,-0.06956846446082411,0.2033783941361775,0.12938448805267694,0.6666666666666666,0.19479580860003579,0.008582585536141718,price_only,winsor_z,expanding,2018
