feature_set,forward_window,regression_bucket,condition,observations,mean_return,median_return,hit_rate,avg_growth,avg_trailing_6m
financial_only,fwd_3m_return,all,growth30_positive_margin,39,0.14311008394457256,0.0600037991585982,0.6153846153846154,0.6797480291338103,0.31234691377069684
financial_plus_price,fwd_3m_return,all,growth30_positive_margin,39,0.14311008394457256,0.0600037991585982,0.6153846153846154,0.6797480291338103,0.31234691377069684
growth_quality_only,fwd_3m_return,all,growth30_positive_margin,39,0.14311008394457256,0.0600037991585982,0.6153846153846154,0.6797480291338103,0.31234691377069684
growth_quality_price,fwd_3m_return,all,growth30_positive_margin,39,0.14311008394457256,0.0600037991585982,0.6153846153846154,0.6797480291338103,0.31234691377069684
growth_quality_only,fwd_3m_return,all,growth30_model_top_half,17,0.14177792453508953,0.0459891820841962,0.5294117647058824,0.5415566001600532,0.45059317657353243
financial_only,fwd_3m_return,all,growth30_positive_margin_mom,27,0.14047235974583613,0.1100154283903411,0.6666666666666666,0.6895743766518933,0.5235664786087985
financial_plus_price,fwd_3m_return,all,growth30_positive_margin_mom,27,0.14047235974583613,0.1100154283903411,0.6666666666666666,0.6895743766518933,0.5235664786087985
growth_quality_only,fwd_3m_return,all,growth30_positive_margin_mom,27,0.14047235974583613,0.1100154283903411,0.6666666666666666,0.6895743766518933,0.5235664786087985
growth_quality_price,fwd_3m_return,all,growth30_positive_margin_mom,27,0.14047235974583613,0.1100154283903411,0.6666666666666666,0.6895743766518933,0.5235664786087985
financial_only,fwd_3m_return,all,growth30_model_top_half,24,0.13021702757620923,0.10176893561559669,0.5416666666666666,0.5683288868373743,0.4025478111232587
financial_plus_price,fwd_3m_return,all,model_top_quintile,203,0.07258009694496595,0.0271250296827803,0.6009852216748769,0.06605453256054598,0.14472315446783987
growth_quality_price,fwd_3m_return,all,model_top_quintile,203,0.048851337216215464,0.0092943040336845,0.541871921182266,0.06945215634688658,0.17703715449925744
growth_quality_only,fwd_3m_return,all,model_top_quintile,203,0.008383011182394835,0.0001134213451163,0.5024630541871922,-0.012172183295329474,0.22460177305597212
financial_only,fwd_3m_return,all,model_top_quintile,203,0.006489100323144215,0.0057953960748129,0.5221674876847291,-0.0056969177134162784,0.21738784964546
financial_only,fwd_3m_return,large_cap,growth30_positive_margin_mom,6,0.47785121402868186,0.40552825062988973,0.8333333333333334,0.526147258530414,1.2256166899447822
financial_plus_price,fwd_3m_return,large_cap,growth30_positive_margin_mom,6,0.47785121402868186,0.40552825062988973,0.8333333333333334,0.526147258530414,1.2256166899447822
growth_quality_only,fwd_3m_return,large_cap,growth30_positive_margin_mom,6,0.47785121402868186,0.40552825062988973,0.8333333333333334,0.526147258530414,1.2256166899447822
growth_quality_price,fwd_3m_return,large_cap,growth30_positive_margin_mom,6,0.47785121402868186,0.40552825062988973,0.8333333333333334,0.526147258530414,1.2256166899447822
