symbol,fiscal_period_end,total_revenue,error
WMT,2023-01-31,611289000000.0,
WMT,2024-01-31,648125000000.0,
WMT,2025-01-31,680985000000.0,
WMT,2026-01-31,713163000000.0,
XOM,2022-12-31,398675000000.0,
XOM,2023-12-31,334697000000.0,
XOM,2024-12-31,339247000000.0,
XOM,2025-12-31,323905000000.0,
YUM,2022-12-31,6842000000.0,
YUM,2023-12-31,7076000000.0,
YUM,2024-12-31,7549000000.0,
YUM,2025-12-31,8214000000.0,
ZS,2022-07-31,1090946000.0,
ZS,2023-07-31,1616952000.0,
ZS,2024-07-31,2167771000.0,
ZS,2025-07-31,2673115000.0,
ZTS,2022-12-31,8080000000.0,
ZTS,2023-12-31,8544000000.0,
ZTS,2024-12-31,9256000000.0,
ZTS,2025-12-31,9467000000.0,
